id,N,kf,rho_length_density
CC00101XX02_35001,732,31.62568306010929,-0.26780394546616576
CC00102XX03_35200,731,35.54035567715458,-0.23411977321176164
CC00103XX04_35300,736,34.04347826086956,-0.25862920840425146
CC00104XX05_35800,736,32.63858695652174,-0.21620807411238482
CC00105XX06_35801,733,33.315143246930425,-0.2244829040639662
CC00106XX07_36100,735,33.352380952380955,-0.27486508289768385
CC00107XX08_36300,736,33.62228260869565,-0.20278012930084835
CC00108XX09_36800,735,37.46122448979592,-0.25320441581070663
CC00109XX10_36901,733,31.446111869031377,-0.2599042601536235
CC00110XX03_37000,733,34.234652114597544,-0.2277560110023619
CC00111XX04_37002,733,34.327421555252386,-0.19547796294062053
CC00112XX05_37001,732,35.75409836065574,-0.2795640982039043
CC00113XX06_37200,736,34.296195652173914,-0.2627752239469958
CC00114XX07_37100,733,34.28103683492497,-0.2660403753450054
CC00115XX08_37801,732,34.0,-0.2639758785127349
CC00116XX09_38001,734,35.85013623978202,-0.25645814604439005
CC00117XX10_38200,736,32.59782608695652,-0.23815545855254797
CC00119XX12_39400,732,32.622950819672134,-0.18343371836761366
CC00120XX05_41600,732,32.76775956284153,-0.282967428040261
CC00121XX06_41700,735,34.91156462585034,-0.27436224044200974
CC00122XX07_42000,733,35.75989085948158,-0.23515319818747124
CC00124XX09_42302,734,36.403269754768395,-0.2847713356982549
CC00126XX11_43100,736,33.171195652173914,-0.2591098419676506
CC00127XX12_43200,731,33.198358413132695,-0.23360705017490604
CC00129AN14_43500,733,32.177353342428376,-0.28316145616566796
CC00129BN14_43701,735,35.65986394557823,-0.30054219559105233
CC00130XX07_44001,732,33.34699453551912,-0.22298413801047504
CC00131XX08_44200,735,35.55374149659864,-0.20781811564964758
CC00132XX09_44400,735,34.38367346938775,-0.2665708646905844
CC00133XX10_44500,735,36.138775510204084,-0.2652317700729388
CC00134XX11_44600,734,35.11716621253406,-0.23663770871284362
CC00135AN12_44900,732,35.94808743169399,-0.29732597797661225
CC00135AN12_54400,733,35.97817189631651,-0.25497710319612116
CC00135BN12_44704,732,40.09016393442623,-0.27573179431336886
CC00135BN12_54500,732,35.28142076502732,-0.24191856966197448
CC00136AN13_45100,732,41.03551912568306,-0.2852871292741684
CC00136AN13_64201,735,36.62312925170068,-0.23721222319210705
CC00136BN13_45000,736,40.69021739130435,-0.2879575983632189
CC00138XX15_46200,735,32.522448979591836,-0.2441265962727425
CC00139XX16_49101,734,35.80926430517711,-0.23717169929729054
CC00143AN12_47501,730,32.43561643835616,-0.2872943046425939
CC00143BN12_47600,735,35.863945578231295,-0.23446440064076854
CC00144XX13_47701,734,32.217983651226156,-0.2392168647538046
CC00145XX14_48100,737,36.36906377204885,-0.2828545195701276
CC00146XX15_48400,735,34.8843537414966,-0.24100904391554853
CC00147XX16_48500,734,37.02179836512261,-0.2889147885662618
CC00149XX18_49000,734,35.299727520435965,-0.2143043891890527
CC00150AN02_54800,737,39.210312075983715,-0.28541175231452925
CC00150BN02_49100,734,41.583106267029976,-0.25772215218936056
CC00152AN04_49200,736,38.33967391304348,-0.28519691388663404
CC00152AN04_65700,731,36.41313269493844,-0.24587014978182392
CC00153XX05_50300,733,37.915416098226466,-0.25208847822792224
CC00154XX06_50700,736,38.39673913043478,-0.26333162103168306
CC00155XX07_51300,733,33.99181446111869,-0.2316236206392456
CC00157XX09_51900,735,36.100680272108846,-0.2587779493097806
CC00158XX10_52200,729,33.87379972565158,-0.22048438671296297
CC00159XX11_52600,732,32.51639344262295,-0.2370292418785638
CC00160XX04_52700,734,35.762942779291556,-0.2532211447081923
CC00161XX05_53100,731,33.712722298221614,-0.2613419707897371
CC00162XX06_53600,735,36.09795918367347,-0.21099570188922961
CC00163XX07_53701,734,30.152588555858312,-0.23486480935820464
CC00164XX08_54000,733,33.95907230559345,-0.2259795876340543
CC00165XX09_54600,733,36.35470668485675,-0.2755699203204192
CC00168XX12_55700,731,31.20109439124487,-0.2011981962108814
CC00170XX06_56100,734,33.19346049046322,-0.25550390747760704
CC00171XX07_56300,732,35.150273224043715,-0.25742489403156193
CC00172AN08_56901,735,34.797278911564625,-0.28462567398372907
CC00172BN08_57300,730,32.441095890410956,-0.24100443015213238
CC00174XX10_57200,733,33.096862210095495,-0.2437698241498222
CC00176XX12_57600,736,36.36684782608695,-0.22353810402707155
CC00177XX13_58500,734,34.57765667574932,-0.31263852032760836
CC00178XX14_58600,733,36.196452933151434,-0.23896231711186536
CC00179XX15_58800,733,31.923601637107776,-0.2350617254602462
CC00180XX08_59500,733,30.949522510231922,-0.18751837855902143
CC00181XX09_60000,735,37.863945578231295,-0.26090643337690617
CC00182XX10_60200,733,33.5525238744884,-0.22550518573912165
CC00183XX11_60300,735,33.02857142857143,-0.2776654471945005
CC00184XX12_60501,734,33.72207084468665,-0.23374710771235113
CC00185XX13_60800,733,31.227830832196453,-0.27428166701451884
CC00186AN14_60900,732,35.91256830601093,-0.23560861669056365
CC00186BN14_61000,732,33.46174863387978,-0.2086748996744897
CC00189XX17_62301,733,31.402455661664394,-0.22871418387086973
CC00191XX11_65200,734,31.40599455040872,-0.2678338444368979
CC00192AN12_64301,735,33.368707482993194,-0.2624867957613007
CC00193XX13_64400,732,33.49180327868852,-0.2245291120216723
CC00194XX14_65401,734,34.71117166212534,-0.2540900179108209
CC00195XX15_65800,735,30.451700680272108,-0.23327003461654572
CC00197XX17_66500,735,33.05034013605442,-0.24255467371988784
CC00198XX18_66600,734,32.828337874659404,-0.2628233880474123
CC00199XX19_66700,733,34.03274215552524,-0.2458868097849512
CC00200XX02_67204,735,34.5687074829932,-0.256534052294392
CC00201XX03_67600,733,33.48431105047749,-0.21573180107317422
CC00202XX04_67800,735,38.628571428571426,-0.23370980318865694
CC00203XX05_69500,733,37.001364256480215,-0.24859232583077023
CC00204XX06_69900,735,37.47482993197279,-0.21619746932436848
CC00205XX07_70000,736,34.60054347826087,-0.21985938940959843
CC00206XX08_70100,734,35.10899182561308,-0.2517340054654528
CC00207XX09_88700,732,33.256830601092894,-0.2729198601791288
CC00209XX11_70400,736,32.108695652173914,-0.23890272583616376
CC00216AN10_73100,733,32.50204638472033,-0.2577945053380044
CC00216BN10_73200,732,31.75409836065574,-0.1806701135182172
CC00217XX11_73700,734,37.07629427792916,-0.25783397157459803
CC00218AN12_74801,732,35.63661202185792,-0.2557102635199244
CC00218AN12_85900,734,36.37057220708447,-0.25424177366678047
CC00218BN12_74800,733,36.97407912687585,-0.2534849958670277
CC00219XX13_86600,734,36.52316076294278,-0.2525945985247419
CC00221XX07_75000,735,31.67074829931973,-0.26145962258857636
