id,alpha_density,alpha_length
1014766,12.991942560383514,16.10988881263572
1014839,13.174882719110268,19.26745844601377
1014978,13.051288394183175,15.54180801777887
1015110,12.98105220591389,16.305361387076605
1015270,13.034214086074563,18.017537444708328
1015517,13.109459725503383,16.710489851784416
1016376,13.207057891954598,15.489808257232555
1016749,12.769632705813551,16.567246023879253
1016942,12.694914881702845,17.435546872417085
1016969,12.609116326633842,16.67222533998492
1017905,13.264906680825801,17.354854320913216
1019209,12.561457849315815,15.476919532433367
1020649,13.011362307082182,16.096983752883855
1020715,13.184679012896494,16.652521119111118
1020884,12.503108299258454,15.324523637045168
1021156,12.72538939410783,16.18035556657914
1021702,12.729242875108557,16.2482287806102
1021972,13.606135748310646,18.56170633949677
1021981,12.732630962178208,16.373173087187947
1022038,13.273497026651514,15.778620109702324
1022147,13.056393269669728,15.90802750289537
1022244,13.351128168324179,16.80106830806046
1022451,13.0767514693855,18.457760327369236
1022462,12.437491931670596,16.516101463809946
1023301,13.65715391535477,18.2237376716072
1023491,13.07028452945648,15.907642623021855
1023548,12.663931941773466,16.55996763168984
1023705,12.478688523279219,15.970281435907678
1023779,12.861972947702377,16.98715101567755
1023837,12.998083311798492,17.16192925226428
1023909,12.698922637783701,15.37833430827772
1023911,13.045736245404898,17.19788737629998
1024609,12.776448857220716,16.34324256860566
1024852,13.028886895869698,16.390903066565176
1025001,12.812648416331612,15.98002403279536
1025164,12.90499065943395,16.71880145232215
1025207,12.483863329877845,15.12313396669919
1025263,13.11252468090497,17.925476963937296
1025883,13.069495347847832,14.87181298462026
1025988,12.718005133509434,18.663287816317393
1026034,12.893802315267868,17.825763053349597
1026045,12.757700382757031,17.295615655701315
1026213,12.714192604698466,15.854036892579073
1026280,12.609056660942334,17.613474980227814
1026321,12.79188629321123,14.468534480723857
1027021,12.671416780838758,15.897700771019416
1027317,13.296674313483786,16.534356524901526
1027393,12.796027571021108,18.27115283031386
1027419,12.779799159466213,16.97568857178114
1028252,13.136392807040789,16.903326685373223
1028890,13.545626633917841,17.789002372500306
1029005,13.159527353515507,18.263812136866434
1029086,13.159737701349243,17.835106548770913
1029262,13.148840418874569,16.009919943742755
1029355,12.871412059637663,16.35773100922931
1029426,12.445466975860802,15.979073598456681
1029847,13.302613977113309,17.683504100510728
1030723,12.678107692321856,17.063304493846754
